net,length_um
_06600_,1311.76
_06677_,1165.92
_06851_,1108.52
_06610_,1100.865
_06777_,1092.48
_07031_,1087.86
_06714_,1077.9
_06769_,1077.285
_06752_,1076.22
_06704_,1062.82
_07874_,1055.75
_06679_,1051.88
_06776_,1049.82
_06790_,1045.91
_06661_,1045.26
_06680_,1045.18
_06632_,1033.955
_07028_,1022.22
_06612_,1007.2
_06863_,984.72
_06741_,971.84
_06634_,950.06
_06821_,945.68
_06810_,944.85
_06601_,933.945
_06780_,928.22
_06784_,927.965
_06742_,927.95
_14183_,927.26
_06751_,918.75
_07023_,911.425
_07824_,910.96
_07820_,909.05
_06719_,903.31
_06733_,893.6
_06686_,893.51
_06671_,892.36
_06664_,889.97
_06688_,889.97
_06611_,887.605
_06917_,882.405
_06716_,881.57
_09385_,881.03
_06630_,880.81
_06652_,871.38
_13251_,866.39
_06697_,865.4
_06783_,862.76
_06620_,860.55
_06646_,857.76
_06663_,853.89
_06715_,852.6
_06724_,848.56
_06782_,844.61
_06797_,843.73
_06629_,841.48
_06658_,837.78
_07845_,835.94
_06682_,835.735
_06726_,834.75
_08549_,830.63
_06692_,829.65
_06649_,826.85
_06837_,821.37
_07838_,818.87
_06732_,814.66
_07829_,812.8
_06744_,809.68
_06676_,807.8
_06625_,804.81
_06766_,803.44
_07822_,803.42
_06628_,798.57
_06613_,795.39
_06684_,794.51
_09479_,792.805
_06657_,791.12
_06703_,791.04
_09382_,789.52
_07635_,788.49
_07912_,788.01
_06687_,784.17
_06598_,783.49
_06702_,773.97
_06645_,772.67
_06691_,770.16
_06781_,767.68
_06678_,767.55
_07836_,766.94
_08570_,766.58
_07037_,765.665
_07832_,765.625
_07085_,761.72
_06949_,761.4
_07831_,757.66
_06754_,757.58
_06603_,757.35
_07833_,756.96
_07019_,755.06
_06695_,754.48
_13254_,754.065
_09225_,753.59
_08572_,752.46
_06617_,752.31
_06667_,752.255
_06753_,751.865
_06815_,751.84
_06944_,751.03
_06717_,750.71
_06731_,750.02
_07840_,749.9
_06666_,749.815
_13244_,749.78
clknet_0_clk,749.64
_13223_,747.71
_14181_,745.96
_07860_,745.06
_07866_,742.8
_13213_,742.8
_07911_,742.4
_08567_,739.78
_06596_,739.04
_09313_,738.89
_06609_,738.55
_06707_,737.85
_07636_,732.82
_06700_,731.83
_06721_,731.32
_13241_,730.99
_06662_,730.51
_07851_,729.12
_06779_,728.54
_06633_,726.91
_10268_,725.81
_07020_,724.345
_07837_,724.035
_07230_,722.72
_06738_,722.18
_06647_,720.475
_06806_,719.36
_06713_,718.48
_13260_,715.42
_06765_,715.31
_06935_,715.08
_06672_,714.075
_13257_,714.05
_06739_,709.655
_07077_,708.63
_06619_,708.445
_06636_,707.85
_09478_,707.82
_06967_,706.38
_06594_,705.87
_06865_,705.02
_06635_,704.44
_06778_,703.03
_07203_,697.34
_07839_,695.69
_06807_,694.66
_06820_,693.79
_06922_,692.62
_07868_,690.195
_09309_,690.16
_07823_,689.6
_09317_,688.9
_10142_,688.025
_06763_,685.75
_06696_,684.51
_07821_,682.86
_06973_,681.34
_13216_,680.64
_06829_,679.63
_07827_,678.34
_13248_,677.04
_08568_,673.35
_07125_,672.33
_07021_,672.25
_13269_,671.59
_08839_,671
_13266_,670.73
_07177_,669.97
_07844_,669.29
_07863_,669
_09386_,668.61
_06860_,664.92
_06706_,664.73
_07808_,661.76
_07835_,661.21
_13225_,660.58
_13228_,658.09
_13231_,657.935
_13229_,657.55
_06728_,657.18
_06764_,656.82
_09406_,655.45
_14187_,654.86
_06701_,652.725
_10325_,652.08
_06803_,650.4
_07191_,649.96
_06602_,647.92
_06690_,646.12
_06654_,645.71
_06789_,644.925
_06768_,641.09
_06722_,639.11
_10209_,637.65
_09321_,637.37
_08534_,637
_06698_,635.92
_06648_,635.73
_06683_,635.565
_06760_,635.53
_13219_,635.14
_08525_,633.78
_09395_,630.39
_07825_,629.33
_06639_,629.19
_07867_,628.15
_14147_,627.885
_06699_,627.53
_09476_,626.95
_10979_,626.15
_09297_,626
_09482_,625.75
_09431_,623.21
_06804_,622.9
_06802_,621.745
_09226_,621.03
_14195_,619.03
_06621_,618.1
_13217_,617.79
_13226_,616.93
_09299_,616.92
_09421_,616.69
_06947_,614.89
_14172_,614.01
_08527_,613.57
_09637_,613.31
_09351_,612.695
_06737_,612.38
_06990_,611.6
_13238_,611.28
_06659_,610.12
_06608_,609.89
_13220_,609.79
_13209_,609.57
_07243_,608.87
_06931_,607.64
_06941_,607.42
_07872_,606.735
_13263_,605.65
_06685_,605.59
_08516_,605.02
_07024_,602.69
_07826_,601.57
_13198_,600.67
rvcpu.dp.plem.ALUResultM\[3\],600.525
_06730_,598.67
_13206_,597.86
_14457_,597.76
_06761_,596.93
_06681_,593.99
_14143_,591.65
_09350_,590.42
_08542_,589.97
_06599_,589.72
_08693_,588.67
_14177_,586.94
_06950_,585.015
_06919_,584.32
_07849_,584.25
_06618_,584.24
_14141_,583.96
_09464_,583.33
_13201_,583.1
clknet_2_0_0_clk,582.6
_14179_,582.34
_06743_,581.71
_09401_,581.47
_14149_,581.2
clk,580.48
_06689_,577.47
_07828_,577.4
_06627_,576.57
_13350_,576.51
_10069_,575.95
_14145_,575.49
_06924_,575.06
_13232_,573.53
_06605_,573.37
_07154_,572.77
_07182_,571.05
_07791_,570.3
_13237_,569.895
_06940_,569.87
_14472_,569.67
rvcpu.dp.plem.ALUResultM\[4\],569.35
_09453_,567.89
_07081_,567.09
_13190_,566.34
_08649_,566.25
_08840_,566.23
_14470_,566.16
_14185_,565.37
_14442_,562.89
_09424_,562.86
_07903_,562.69
_06655_,562.67
_09467_,562.025
_14445_,560.875
_06729_,560.25
_13272_,559.63
_09423_,559.36
_06626_,557.49
_06805_,555.93
_06828_,555.815
_14162_,554.52
